source_drive_id,source_title,source_path,mime_type,target_file_id,target_relative_folder,status,message
1QvAEqVKwVwWfLnzLHA8junX3PugFWtq1,1.jpg,TELLPAL-ORTAK/**TELLPAL- ALMANCA İÇERİKLER/SESLENDİRME ve GÖRSEL EKLE -Nota Haberci Güvercin (GERMAN)/haberci nota-ALMANCA GÖRSELLER/1.jpg,image/jpeg,1YMrZsLRbPJmXQ8DDB2CPocABxtCwl_dd,Haberci Nota/**TELLPAL- ALMANCA İÇERİKLER/SESLENDİRME ve GÖRSEL EKLE -Nota Haberci Güvercin (GERMAN)/haberci nota-ALMANCA GÖRSELLER,COPIED,
1OQcG5oPHCoel6zEIDuxb0cdArqpAyeUQ,10.jpg,TELLPAL-ORTAK/**TELLPAL- ALMANCA İÇERİKLER/SESLENDİRME ve GÖRSEL EKLE -Nota Haberci Güvercin (GERMAN)/haberci nota-ALMANCA GÖRSELLER/10.jpg,image/jpeg,1GHzStU0rkP8MUrgxgCqNmbfjVNULK8sx,Haberci Nota/**TELLPAL- ALMANCA İÇERİKLER/SESLENDİRME ve GÖRSEL EKLE -Nota Haberci Güvercin (GERMAN)/haberci nota-ALMANCA GÖRSELLER,COPIED,
1Kg-HZmapWVIgJCre5DY_KoLCRBtGaqPU,11.jpg,TELLPAL-ORTAK/**TELLPAL- ALMANCA İÇERİKLER/SESLENDİRME ve GÖRSEL EKLE -Nota Haberci Güvercin (GERMAN)/haberci nota-ALMANCA GÖRSELLER/11.jpg,image/jpeg,1lnuuLbxn1w4ITM28XzJJMlqoXmdDtvoc,Haberci Nota/**TELLPAL- ALMANCA İÇERİKLER/SESLENDİRME ve GÖRSEL EKLE -Nota Haberci Güvercin (GERMAN)/haberci nota-ALMANCA GÖRSELLER,COPIED,
1psE30QrXuqs0lo5v7U9cn3OSKJytQfxm,12.jpg,TELLPAL-ORTAK/**TELLPAL- ALMANCA İÇERİKLER/SESLENDİRME ve GÖRSEL EKLE -Nota Haberci Güvercin (GERMAN)/haberci nota-ALMANCA GÖRSELLER/12.jpg,image/jpeg,1Pe8-ugffKUULuS7ksJwniqjXFh6QLg72,Haberci Nota/**TELLPAL- ALMANCA İÇERİKLER/SESLENDİRME ve GÖRSEL EKLE -Nota Haberci Güvercin (GERMAN)/haberci nota-ALMANCA GÖRSELLER,COPIED,
1rEMN3dkxUfpfmbmGXcI30JfbN1CNRF6q,13.jpg,TELLPAL-ORTAK/**TELLPAL- ALMANCA İÇERİKLER/SESLENDİRME ve GÖRSEL EKLE -Nota Haberci Güvercin (GERMAN)/haberci nota-ALMANCA GÖRSELLER/13.jpg,image/jpeg,1YdmkohtF0-IKuV57M563WP-VKmiOu-0M,Haberci Nota/**TELLPAL- ALMANCA İÇERİKLER/SESLENDİRME ve GÖRSEL EKLE -Nota Haberci Güvercin (GERMAN)/haberci nota-ALMANCA GÖRSELLER,COPIED,
1I4NlVVKqKZNwtUUhnU-ndnDG9zqiqPyh,14.jpg,TELLPAL-ORTAK/**TELLPAL- ALMANCA İÇERİKLER/SESLENDİRME ve GÖRSEL EKLE -Nota Haberci Güvercin (GERMAN)/haberci nota-ALMANCA GÖRSELLER/14.jpg,image/jpeg,11Pbc8PUNieOEtguUCoxH_Ec2UsylG_Ge,Haberci Nota/**TELLPAL- ALMANCA İÇERİKLER/SESLENDİRME ve GÖRSEL EKLE -Nota Haberci Güvercin (GERMAN)/haberci nota-ALMANCA GÖRSELLER,COPIED,
1Rt4sM1D668nYGK9gfQ6fJL71BQ4vJn5q,2.jpg,TELLPAL-ORTAK/**TELLPAL- ALMANCA İÇERİKLER/SESLENDİRME ve GÖRSEL EKLE -Nota Haberci Güvercin (GERMAN)/haberci nota-ALMANCA GÖRSELLER/2.jpg,image/jpeg,1uBwbghUB4TIs2vD-jJ_ZZpiNPQ7Y1OOR,Haberci Nota/**TELLPAL- ALMANCA İÇERİKLER/SESLENDİRME ve GÖRSEL EKLE -Nota Haberci Güvercin (GERMAN)/haberci nota-ALMANCA GÖRSELLER,COPIED,
1T_-1ecugvMJUE9qfnqv4gN8HhQ4aMRcn,3.jpg,TELLPAL-ORTAK/**TELLPAL- ALMANCA İÇERİKLER/SESLENDİRME ve GÖRSEL EKLE -Nota Haberci Güvercin (GERMAN)/haberci nota-ALMANCA GÖRSELLER/3.jpg,image/jpeg,1dttJuddCmdFwc_fTglEGQYv6jiczKxP7,Haberci Nota/**TELLPAL- ALMANCA İÇERİKLER/SESLENDİRME ve GÖRSEL EKLE -Nota Haberci Güvercin (GERMAN)/haberci nota-ALMANCA GÖRSELLER,COPIED,
1CBmRMjPM3d2g7Ng0raBRECP3R4sXcpPw,4.jpg,TELLPAL-ORTAK/**TELLPAL- ALMANCA İÇERİKLER/SESLENDİRME ve GÖRSEL EKLE -Nota Haberci Güvercin (GERMAN)/haberci nota-ALMANCA GÖRSELLER/4.jpg,image/jpeg,1YvufpTWSruV7LapASf7BcuE5Uqzk9kV7,Haberci Nota/**TELLPAL- ALMANCA İÇERİKLER/SESLENDİRME ve GÖRSEL EKLE -Nota Haberci Güvercin (GERMAN)/haberci nota-ALMANCA GÖRSELLER,COPIED,
1n8lT7V6aPLNiu3V4WhnvjOkFafGWTT1Y,5.jpg,TELLPAL-ORTAK/**TELLPAL- ALMANCA İÇERİKLER/SESLENDİRME ve GÖRSEL EKLE -Nota Haberci Güvercin (GERMAN)/haberci nota-ALMANCA GÖRSELLER/5.jpg,image/jpeg,12y0m5io9fArHeP5bvrq73anfz6RfpD5p,Haberci Nota/**TELLPAL- ALMANCA İÇERİKLER/SESLENDİRME ve GÖRSEL EKLE -Nota Haberci Güvercin (GERMAN)/haberci nota-ALMANCA GÖRSELLER,COPIED,
